posX,posZ,amplL,amplR
-247.18,-477.78,1.38,0.2
-231.34,-477.78,0,0.52
-273.58,-477.78,0,0.24
-183.82,-477.78,0,1.87
-181.18,-477.78,6.22,8.01
-173.26,-477.78,8.62,3.8
-175.9,-477.78,5.86,4.01
-236.62,-477.78,0,1.46
-186.46,-477.78,0,1.95
-228.7,-477.78,1.59,0
-257.74,-477.78,1.11,0
-194.38,-477.78,1.61,0
-127.91,-464.38,0,0.6
-133.26,-464.38,7.28,24.21
-135.83,-464.38,0,2.44
-149.1,-464.38,23.09,37.4
-151.67,-464.38,25.48,19.73
-154.31,-464.38,12.49,16.91
-156.95,-464.38,3.58,5.04
-167.51,-464.38,4.69,4.59
-164.94,-464.38,5.32,10.47
-162.23,-464.38,1.4,4.02
-159.66,-464.38,6.21,5.72
-146.39,-464.38,56.2,79.28
-143.75,-464.38,23.68,31.82
-141.11,-464.38,0.68,5.07
-138.47,-464.38,9.06,10.64
-122.63,-464.38,2.59,1.52
-119.99,-464.38,1.63,4.8
-117.35,-464.38,0,1.74
-125.27,-464.38,4.55,0
-130.55,-464.38,2.03,0
-180.9,-464.38,0,2.34
-183.54,-464.38,0.56,1.96
-257.46,-464.38,0,2.92
-233.7,-464.38,0,2.19
-199.38,-464.38,0,1.04
-178.26,-464.38,7.21,10.43
-175.62,-464.38,0,0.89
-254.82,-464.38,36.71,48.97
-236.34,-464.38,0.52,0
-172.98,-464.38,1.21,0
-170.34,-464.38,1.27,0
-146.53,-450.98,1.52,1.27
-167.65,-450.98,0.38,2.38
-138.61,-450.98,0.56,0.33
-165.01,-450.98,1.29,1.36
-154.45,-450.98,4.5,5.22
-151.81,-450.98,47.2,45.08
-149.17,-450.98,11.14,20.07
-135.97,-450.98,0.25,1.28
-130.69,-450.98,2.42,2.87
-114.85,-450.98,0.39,0.99
-112.21,-450.98,1.28,4.71
-109.57,-450.98,1.07,1.53
-96.37,-450.98,1.16,0.49
-69.97,-450.98,1.77,0
-133.33,-450.98,1.91,0
-181.04,-450.98,7.1,11.62
-183.68,-450.98,0,1.17
-178.4,-450.98,0.5,1.91
